group,label,s1_pitch_std,s2_pitch_std,s1_pitch_mean,s2_pitch_mean,inter_pitch_diff_mean,inter_pitch_corr,s1_yaw_std,s2_yaw_std,s1_yaw_mean,s2_yaw_mean,inter_yaw_diff_mean,inter_yaw_corr,s1_roll_std,s2_roll_std,s1_roll_mean,s2_roll_mean,inter_roll_diff_mean,inter_roll_corr
g1,Meta-Con,10.899591596984637,3.8443212961189253,3.754154822335025,8.838893401015229,8.769895939086295,-0.16437318449917868,11.70898229888522,13.516395796477335,-25.68456345177665,26.21110659898477,51.895670050761424,-0.9020425441959878,2.914863150614413,2.249810776553308,-4.851675126903553,-3.0696243654822335,2.4724111675126905,0.6259949100399106
g1,Meta-Con,11.750310333604189,2.079633619130186,-3.359027303754267,6.695677474402731,13.021059726962458,-0.12658159539676717,14.268386576496276,11.55933022980326,-19.77277133105802,33.11608703071673,52.88885836177475,0.41746642562261865,3.2636091249478407,2.7829863806956094,-1.6526433447098978,-4.529626279863481,4.014846416382253,0.02647922074046527
g1,Meta-Con,2.0155269991454188,2.299978183967486,9.006151515151515,10.294567676767675,2.2711919191919194,0.16239556139965128,8.03493311957407,4.6989790391935,-20.45460202020202,16.537307070707072,36.99190909090909,-0.06737043200614395,2.1267362723627423,0.8991534351799533,-8.349826262626262,0.40980202020202017,8.761462626262626,0.018753148407673143
g1,Main-Con,5.048115659787851,4.601046404526856,6.995870309951059,6.035915986949429,4.0672055464926595,0.43016216605153995,13.890452320692251,6.548336045924585,-24.49792414355628,19.019693311582383,43.517617455138655,-0.46333493340259124,6.19523384447602,1.769887457286818,-3.972421696574225,0.994800163132137,7.754396411092985,-0.2368116816783142
g1,Main-Con,6.752198422252708,3.7621346801398636,8.156732593340061,7.927997981836529,4.12380423814329,0.5715326270221485,17.12404323973658,10.283218135714353,-26.549933400605447,27.4108668012109,53.960800201816355,-0.04720265661037337,2.1378890598783875,4.161953158010056,-5.316411705348133,-3.262816347124117,3.9137003027245205,-0.040440905982052376
g1,Meta-Con,2.8961215854542717,1.9946791889726436,10.249530014641289,6.18721083455344,4.115742313323572,0.5702830646657111,8.235676684815953,8.676972368836463,-30.56491068814056,34.33980819912152,64.90471888726208,-0.5161423715095356,1.4234537272362975,1.733497014397079,-5.258696925329429,-3.4686515373352855,2.4809180087847733,0.0658570875910786
g1,Main-Style,3.4248068860921235,3.571840853957503,10.281756007393716,11.480800369685767,3.120678373382624,0.37633283563421793,9.309195740354694,14.392710932454625,-29.70689833641405,31.79719223659889,61.504090573012945,-0.3551106769440417,1.444023260358535,2.0218499610174243,-7.012743068391867,-2.3811663585951943,4.638878003696857,0.27505881058979265
g1,Main-Con,2.6301919278271444,6.525021036135535,7.809581545064378,10.735054112554113,5.146324675324675,0.035785111060919673,8.01557650561578,17.67652967055953,-26.44374034334764,28.098396103896107,54.537069264069274,-0.17561681270072801,2.216219556893535,5.45812806335489,-4.255980686695279,-4.896915584415584,4.756125541125541,-0.13280205520256103
g1,Meta-Con,0.9528849300940322,7.263876546848665,9.104139423076923,6.397617263843649,5.914900651465798,0.02902374296970861,4.100283253455914,11.647439537934558,-25.257275641025643,15.915641693811075,41.20250977198697,-0.12245073169782542,0.9717668052524168,5.737964243315856,-7.869655448717949,-1.747872964169381,6.103410423452768,0.3732987079521312
g1,Main-Con,1.5274604644680074,0.43937926348370965,7.678107142857144,3.7958214285714287,3.882285714285715,0.46381728116239773,0.5178168983730752,0.8099391893369908,-22.478908163265306,7.38080612244898,29.859714285714286,0.17113133356083426,0.7767347086618306,0.25921174693447563,-7.673948979591837,-2.7716173469387755,4.902331632653061,-0.5230701283382736
g1,Meta-Con,0.9152462585993075,1.49998476104662,8.659929336188437,6.93157601713062,1.9212526766595293,0.21704278722430423,5.057920596902786,5.7134387506868265,-23.929871520342612,8.655565310492506,32.585436830835114,-0.7510900835527444,1.694884108591906,1.1145723069706932,-7.800991434689507,-1.2230620985010707,6.5825160599571735,0.152498388496615
g1,Meta-Con,2.9293397593249626,1.7273329129707415,7.893072874493927,6.773323886639676,2.50868016194332,0.2989423715124121,10.619541183539077,22.008251932449827,-26.85324291497976,25.59519028340081,52.44843319838057,-0.12162539079830546,6.146347843471137,2.873771000469842,-0.9473765182186242,-3.3643198380566814,7.144546558704453,-0.5216068800731782
g1,Meta-Con,1.6490929261155665,0.6850930474932485,5.918825242718447,3.5835631067961167,2.401184466019417,-0.3438476679799893,0.3423535510712385,0.33309544071506975,-23.166786407766992,5.063766990291262,28.23055339805825,0.3115650263105145,0.9410719259885909,0.27313441790035653,0.2594854368932039,-1.6350388349514564,1.8945242718446604,-0.8028478470304249
